date,nominal_non_food_products,nominal_public_catering,nominal_food_products,nominal_services,nominal_total,real_non_food_products,real_public_catering,real_food_products,real_services,real_total,year,month,quarter,nominal_growth_pct,real_growth_pct,gap
2018-12-01,1719.39,169.78,1592.16,891.21,4372.54,100.0,100.0,100.0,100.0,100.0,2018,12,4,,,
2019-01-01,1291.65,134.81,1215.82,828.09,3470.37,99.13,99.22,100.0,99.77,99.58,2019,1,1,-20.632630004528263,-0.41999999999999815,-20.212630004528265
2019-02-01,1259.41,130.14,1195.18,827.21,3411.9400000000005,99.01,99.14,99.85,100.65,99.69,2019,2,1,-1.683682143402554,0.11046394858404973,-1.7941460919866037
2019-03-01,1379.37,138.54,1311.02,860.49,3689.42,98.69,100.44,100.51,101.63,100.09,2019,3,1,8.132616634524625,0.40124385595345924,7.731372778571166
2019-04-01,1368.53,141.66,1288.4,865.86,3664.4500000000003,98.74,100.26,100.27,101.41,99.96,2019,4,2,-0.6768001474486418,-0.12988310520531954,-0.5469170422433223
2019-05-01,1383.87,145.4,1319.29,859.46,3708.02,98.68,100.66,100.82,101.83,100.25,2019,5,2,1.1889915266956708,0.2901160464185759,0.8988754802770949
2019-06-01,1424.2,149.29,1316.86,874.2,3764.55,99.36,101.69,100.82,102.4,100.68,2019,6,2,1.5245333088818258,0.428927680798008,1.0956056280838178
2019-07-01,1468.44,151.51,1338.59,892.35,3850.89,99.7,101.79,100.63,102.21,100.7,2019,7,3,2.293501215284688,0.019864918553835764,2.273636296730852
2019-08-01,1540.48,156.92,1356.97,900.29,3954.66,100.01,101.95,100.77,102.48,100.94,2019,8,3,2.69470174427211,0.2383316782522238,2.456370066019886
2019-09-01,1514.31,166.99,1341.89,886.42,3909.61,100.7,102.4,101.11,102.18,101.27,2019,9,3,-1.1391624058705307,0.3269268872597486,-1.4660892931302794
2019-10-01,1530.86,165.49,1373.71,892.54,3962.6,101.72,103.86,101.58,102.65,102.0,2019,10,4,1.3553781579236812,0.7208452651328079,0.6345328927908733
2019-11-01,1542.42,160.26,1390.12,897.06,3989.86,102.9,105.38,102.95,103.07,103.09,2019,11,4,0.6879321657497606,1.0686274509803972,-0.38069528523063667
2019-12-01,1800.0,184.06,1672.93,951.67,4608.66,102.63,106.83,102.76,102.68,102.89,2019,12,4,15.509316116354954,-0.194005238141437,15.703321354496392
2020-01-01,1367.38,141.93,1275.12,886.42,3670.8500000000004,102.6,100.44,102.8,102.96,102.7,2020,1,1,-20.348864962917624,-0.18466323257847472,-20.164201730339148
2020-02-01,1356.53,138.34,1276.4,881.44,3652.71,102.12,100.9,102.37,101.9,102.14,2020,2,1,-0.49416347712383235,-0.5452775073028215,0.05111403017898919
2020-03-01,1522.43,132.99,1430.71,851.42,3937.55,105.76,93.42,107.28,97.2,103.78,2020,3,1,7.798045834462641,1.6056393185823303,6.192406515880311
2020-04-01,914.98,66.15,1229.44,564.41,2774.98,63.85,45.42,92.02,64.14,73.08,2020,4,2,-29.525212378255517,-29.581807670071303,0.05659529181578549
2020-05-01,1041.55,66.99,1265.47,553.0,2927.01,71.89,45.34,93.36,64.22,76.6,2020,5,2,5.478598043949878,4.816639299397907,0.6619587445519715
2020-06-01,1340.05,82.32,1331.57,635.62,3389.5599999999995,90.72,55.02,98.04,72.24,87.59,2020,6,2,15.802815842788354,14.347258485639692,1.4555573571486615
2020-07-01,1511.63,112.14,1394.38,734.48,3752.6300000000006,99.36,74.2,100.23,82.35,94.69,2020,7,3,10.711419771297791,8.105948167599042,2.6054716036987493
2020-08-01,1609.0,131.67,1392.32,808.5,3941.49,100.69,83.85,99.13,89.94,96.89,2020,8,3,5.032737040422286,2.3233710001056007,2.7093660403166853
2020-09-01,1574.09,146.7,1379.12,835.16,3935.0699999999997,101.11,88.14,99.86,93.2,98.19,2020,9,3,-0.162882564715372,1.3417277324801358,-1.5046102971955078
2020-10-01,1606.02,145.22,1432.68,826.51,4010.4300000000003,102.85,89.73,101.22,93.18,99.4,2020,10,4,1.9150866439479053,1.2323047153478095,0.6827819286000958
2020-11-01,1588.01,135.69,1433.11,819.95,3976.76,101.5,88.09,100.84,92.38,98.5,2020,11,4,-0.8395608450964098,-0.905432595573441,0.0658717504770312
2020-12-01,1854.81,147.28,1746.85,897.3,4646.24,102.05,85.08,101.17,94.15,99.11,2020,12,4,16.83481024753819,0.6192893401015143,16.215520907436677
2021-01-01,1476.75,135.95,1365.56,835.5,3813.76,105.2,92.86,102.86,94.72,101.35,2021,1,1,-17.917283653018345,2.260115023711018,-20.17739867672936
2021-02-01,1448.63,135.67,1348.55,863.83,3796.6800000000003,104.93,94.89,102.23,98.14,101.91,2021,2,1,-0.4478519885886878,0.5525407005426697,-1.0003926891313575
2021-03-01,1622.26,148.62,1462.49,926.47,4159.84,106.07,99.24,101.97,101.8,103.27,2021,3,1,9.565199068659979,1.3345108429005936,8.230688225759385
2021-04-01,1653.34,154.85,1464.95,939.88,4213.0199999999995,108.37,101.57,102.53,103.19,104.75,2021,4,2,1.2784145544059156,1.4331364384622791,-0.15472188405636356
2021-05-01,1678.83,157.75,1490.73,923.33,4250.64,108.29,101.74,102.11,103.72,104.69,2021,5,2,0.8929461526411275,-0.05727923627685261,0.9502253889179801
2021-06-01,1701.21,156.36,1505.49,942.66,4305.72,107.4,99.89,102.42,103.61,104.37,2021,6,2,1.29580486703178,-0.3056643423440586,1.6014692093758387
2021-07-01,1765.41,159.61,1544.89,939.15,4409.0599999999995,107.5,100.8,102.77,102.12,104.24,2021,7,3,2.4000631717807863,-0.12455686499952545,2.5246200367803118
2021-08-01,1877.28,169.85,1559.88,977.19,4584.200000000001,108.39,102.58,102.98,104.11,105.16,2021,8,3,3.9722752695586117,0.882578664620115,3.0896966049384966
2021-09-01,1849.6,182.17,1564.02,990.35,4586.14,109.99,103.65,103.91,105.85,106.53,2021,9,3,0.04231927053792717,1.3027767211867713,-1.2604574506488442
2021-10-01,1847.68,177.26,1635.87,987.81,4648.62,109.91,103.5,104.46,107.12,106.96,2021,10,4,1.3623657367633601,0.4036421665258638,0.9587235702374963
2021-11-01,1806.0,164.97,1626.76,987.5,4585.23,107.15,100.5,103.99,105.98,105.37,2021,11,4,-1.3636304967926005,-1.4865370231862296,0.12290652639362909
2021-12-01,2190.8,188.36,1985.03,1057.25,5421.4400000000005,112.27,103.36,104.64,106.19,107.73,2021,12,4,18.237035001515768,2.2397266774224267,15.997308324093341
2022-01-01,1728.24,170.16,1538.06,1015.87,4452.33,112.95,107.17,104.56,108.51,108.56,2022,1,1,-17.875509089835916,0.7704446300937473,-18.645953719929665
2022-02-01,1751.5,167.57,1548.53,1021.25,4488.85,115.86,107.95,105.22,108.64,109.95,2022,2,1,0.8202446808749597,1.2803979366249107,-0.46015325574995103
2022-03-01,1981.92,177.81,1792.66,1063.62,5016.01,107.36,104.62,105.76,105.7,106.19,2022,3,1,11.743765106875914,-3.4197362437471623,15.163501350623076
2022-04-01,1666.47,180.93,1722.64,1045.73,4615.77,90.78,102.89,99.73,103.97,97.12,2022,4,2,-7.979250440090824,-8.541293907147562,0.5620434670567382
2022-05-01,1676.05,182.83,1750.28,1030.48,4639.639999999999,90.65,102.29,99.38,104.6,97.05,2022,5,2,0.5171401521306018,-0.07207578253707325,0.5892159346676751
2022-06-01,1700.35,185.85,1739.64,1052.65,4678.49,90.93,103.71,99.87,105.07,97.49,2022,6,2,0.8373494495262701,0.45337454920144626,0.38397490032482384
2022-07-01,1751.4,191.54,1772.86,1067.75,4783.55,91.07,105.76,100.35,105.54,97.89,2022,7,3,2.2455963355698216,0.4102984921530384,1.8352978434167833
2022-08-01,1847.69,203.73,1763.78,1111.17,4926.37,92.06,107.56,100.23,106.35,98.47,2022,8,3,2.9856487336810567,0.5925017877209005,2.393146945960156
2022-09-01,1773.71,221.98,1727.47,1101.82,4824.98,91.72,111.37,100.76,106.14,98.62,2022,9,3,-2.0581076939003795,0.152330659083999,-2.2104383529843785
2022-10-01,1789.38,221.2,1772.08,1095.8,4878.46,93.58,113.6,101.47,106.83,99.84,2022,10,4,1.1083983767808503,1.2370715879131966,-0.1286732111323463
2022-11-01,1806.31,215.79,1770.89,1111.32,4904.3099999999995,95.25,116.18,102.45,107.34,101.06,2022,11,4,0.5298803310880729,1.2219551282051322,-0.6920747971170593
2022-12-01,2070.19,230.75,2134.88,1201.25,5637.07,95.08,113.37,102.82,107.31,101.01,2022,12,4,14.941143606338114,-0.0494755590738194,14.990619165411934
2023-01-01,1764.09,217.67,1679.52,1166.86,4828.139999999999,102.25,120.44,103.92,109.54,104.92,2023,1,1,-14.350185468692079,3.8709038709038746,-18.221089339595952
2023-02-01,1727.5,208.02,1678.36,1190.3,4804.18,102.29,117.98,104.4,111.65,105.5,2023,2,1,-0.49625735790592707,0.5528021349599621,-1.0490594928658892
2023-03-01,1901.17,227.53,1825.43,1241.97,5196.1,102.58,122.19,104.74,111.95,105.96,2023,3,1,8.157895832379314,0.43601895734597385,7.72187687503334
2023-04-01,1909.77,227.72,1823.01,1222.04,5182.54,104.57,121.78,105.37,111.45,106.8,2023,4,2,-0.26096495448509893,0.7927519818799578,-1.0537169363650567
2023-05-01,1969.64,233.54,1867.6,1226.77,5297.55,106.46,123.8,106.22,111.56,107.92,2023,5,2,2.219182099896977,1.048689138576786,1.1704929613201909
2023-06-01,2046.96,230.88,1889.19,1244.1,5411.130000000001,108.3,122.62,107.75,111.77,109.17,2023,6,2,2.1440099668714963,1.1582653817642674,0.9857445851072288
2023-07-01,2180.68,232.95,1938.32,1253.91,5605.86,110.1,122.54,106.88,112.96,109.81,2023,7,3,3.5986938033275573,0.5862416414766036,3.0124521618509537
2023-08-01,2323.19,238.88,1973.96,1299.03,5835.06,111.4,120.31,107.72,113.37,110.62,2023,8,3,4.0885787372499705,0.7376377379109345,3.350940999339036
2023-09-01,2254.86,256.35,1933.93,1287.97,5733.110000000001,111.26,123.79,107.72,113.97,110.82,2023,9,3,-1.7471971153681376,0.18079913216415555,-1.9279962475322932
2023-10-01,2304.53,261.75,1981.7,1294.16,5842.14,114.87,126.34,107.75,114.3,112.42,2023,10,4,1.9017601267026008,1.4437827107020462,0.4579774160005545
2023-11-01,2211.92,253.98,1996.77,1305.15,5767.82,111.49,127.66,108.3,114.2,111.35,2023,11,4,-1.2721365800888118,-0.9517879380893102,-0.32034864199950164
2023-12-01,2535.52,279.1,2438.09,1386.11,6638.82,110.66,128.06,109.19,115.04,111.54,2023,12,4,15.101026037567046,0.17063313875169683,14.930392898815349
2024-01-01,2110.47,255.91,1923.67,1326.12,5616.169999999999,114.61,129.5,110.41,115.65,113.7,2024,1,1,-15.404092896026711,1.9365250134480982,-17.34061790947481
2024-02-01,2152.72,261.36,1971.02,1367.18,5752.280000000001,116.97,134.43,111.47,115.49,115.11,2024,2,1,2.4235377490354093,1.2401055408970851,1.1834322081383242
2024-03-01,2371.53,273.77,2114.05,1392.68,6152.030000000001,119.18,132.75,111.68,116.71,116.22,2024,3,1,6.949418317606226,0.9642950221527169,5.985123295453509
2024-04-01,2300.62,279.4,2090.63,1395.42,6066.07,118.09,133.66,111.58,116.52,115.77,2024,4,2,-1.3972623670560957,-0.3871966959215323,-1.0100656711345635
